sentence1Text,sentence2Text,mergedText
"But his YouTube career came skidding to a halt with a video titled ""Throwing Water On Peoples Faces PT.","Mosallah, speaking to BBC Trending in his first interview since his original YouTube channel was taken offline, says the video was not meant to resemble an actual acid attack.","Mosallah, speaking to BBC Trending in his first interview since his original YouTube channel was taken offline, says the video, titled ""Throwing Water on Peoples Faces PT"", was not meant to resemble an actual acid attack."
The poster hung undisturbed for 51 days.,"After the poster stayed up unnoticed for more than a month, Maravilla tweeted about the prank and it quickly went viral.","After the poster stayed up unnoticed for 51 days, Maravilla tweeted about the prank and it quickly went viral."
The 63-33 vote all but guarantees the legislation will pass the Senate and reach President Barack Obama by year's end.,"The bill now heads to President Barack Obama, who plans to sign it into law, overturning what repeal advocates believed was a discriminatory policy that has unfairly ended the careers of thousands of gay members of the military.","The 63-33 vote all but guarantees the legislation will pass the Senate and reach President Barack Obama by year's end, who plans to sign it into law, overturning what repeal advocates believed was a discriminatory policy that has unfairly ended the careers of thousands of gay members of the military."
Wladimir Klitschko defended his IBF heavyweight crown by stopping Hasim Rahman in the seventh round at SAP Arena on Saturday.,Wladimir Klitschko defended his IBF heavyweight crown with ease after stopping American Hasim Rahman after 44 seconds of the seventh round of their contest at the SAP Arena in Germany.,Wladimir Klitschko defended his IBF heavyweight crown with ease after stopping American Hasim Rahman after 44 seconds of the seventh round of their contest at the SAP Arena in Germany on Saturday.
"Near Krakow, Poland, 800,000 people gathered for a mass in memory of the Polish-born pope.","The huge gathering had set off some two hours earlier from central Market Square in Krakow for a silent, white march in homage to John Paul II.","The huge gathering of 800,000 people had set off some two hours earlier from central Market Square in Krakow, Poland for a silent, white march in homage to the Polish-born pope, John Paul II."
"Asberry, 64, and her grandchildren, ages 6 to 9, died early Saturday after being swept away by floodwaters in Palestine, police said.","Police said it appeared Asberry and the children attempted to escape the home, but water swept them away.","Asberry, 64, and her grandchildren, ages 6 to 9, died early Saturday after being swept away by floodwaters in Palestine while attempting to escape the home, police said."
Pete and Ariana just went and got tattoos together (along with some of Ariana's friends).,"They may have only been together for a few months, by Pete Davidson and Ariana Grande have wasted no time in making their love permanent with lots and lots of tattoos.","They may have only been together for a few months, but Pete Davidson and Ariana Grande (along with some Ariana's friends) have wasted no time in making their love permanent with lots and lots of tattoos."
"""I thought, 'Oh gee, I don't have the experience, I don't know enough.'","And now I am thinking, 'Oh.'""","I thought, 'Oh gee, I don't have the experience, I don't know enough.'"
"The U.S. Marshals have added to their ”15 Most Wanted“ list of fugitives a man serving three life sentences who escaped custody during his transport from Huntsville, Texas, to Stiles, Texas.","A Texas inmate escaped from a prison van near Houston after pulling a gun on two guards who were transporting him between prisons, according to a Texas prison statement Monday.","The U.S. Marshals have added to their ”15 Most Wanted“ list of fugitives a man serving three life sentences who escaped custody during his transport from Huntsville, Texas, to Stiles, Texas, after pulling a gun on two guards, according to a Texas prison statement Monday."
The February assassination of former Lebanon Prime Minister Hariri put Syria under renewed pressure from the international community to abide by U.N. Security Council Resolution 1559 and withdraw its troops from Lebanon.,"Foreign ministers from all European Union (EU) member states, who gathered here for a meeting, on Wednesday urged Syria to withdraw its troops completely from Lebanon.","The February assassination of former Lebanon Prime Minister Hariri put Syria under renewed pressure from foreign ministers from all European Union (EU) member states gathered for a meeting, on Wednesday to abide by U.N. Security Council Resolution 1559 and withdraw its troops from Lebanon."
"Under a Pentagon directive, bans on cell phone use while driving are becoming common on military bases.",A National Highway Traffic Safety Administration survey prompted the Department of Defense to restrict driver cell-phone use on military facilities.,"A National Highway Traffic Safety Administration survey prompted the Department of Defense to implement bans, which are becoming common, on driver cell-phone use on military facilities."
"As the Patriots became a dynasty and Belichick became the first coach to win three Super Bowls in four years, an entire system of covert videotaping was developed and a secret library created.","Inside a room accessible only to Belichick and a few others, they found a library of scouting material containing videotapes of opponents' signals, with detailed notes matching signals to plays for many teams going back seven seasons.","As the Patriots became a dynasty and Belichick became the first coach to win three Super Bowls in four years, they found that an entire system of covert videotaping of opponents' signals was developed and a secret library created with scouting material and detailed notes matching signals to plays for many teams going back seven seasons."
"Three or four robbers burst into the store on ritzy Avenue Montaigne near the Champs-Elysees late Thursday afternoon and stole watches, rings and necklaces.","Armed robbers-some disguised as women-snatched $108 million worth of diamond rings, necklaces and luxury watches from a Harry Winston boutique on a posh Paris avenue in one of the largest jewel heists in history, officials said Friday.","Three or four armed robbers - some disguised as women - snatched $108 million worth of diamond rings, necklaces and luxury watches from a Harry Winston boutique on posh, ritzy, Paris Avenue Montaigne near the Champs-Elysees late Thursday afternoon in one of the largest jewel heists in history, officials said Friday."
"His family told News 4 New York that he has severe burns and fractured ribs, and that he's going into surgery on Thursday.","In a new video of a fiery crash that critically injured a West New York man Sunday night, police officers are seen kicking and dragging the man -- who sources say was a victim in the two-car wreck -- into the roadway.","In a new video of a fiery crash that critically injured a West New York man Sunday night, police officers are seen kicking and dragging the man, who sources say was a victim in the two-car wreck, and whose family told News 4 New York that he has severe burns and fractured ribs, and that he's going into surgery on Thursday -- into the roadway."
"A man whose decapitated head was pinned to the gates of a French factory in a grisly attack has been identified as a local businessman from eastern France, a source close to the investigation said Friday.","According to reports the victim in the attack, a man who was decapitated, was not an employee at the factory.","A man whose decapitated head was pinned to the gates of a French factory in a grisly attack was not an employee at the factory and has been identified as a local businessman from eastern France, a source close to the investigation said Friday."
"In a federal complaint, Foster says she was told by acting HUD director Craig Clemmensen to ""find money"" for the redecoration.","Mr. Clemmensen, acting on Mrs. Carson's behalf, told Mrs. Foster to ""find money"" to purchase better furniture for the office - and he quipped that ""$5,000 will not even buy a decent chair,"" according to the complaint, which was reported by The Guardian newspaper.","Mr. Clemmensen, acting on Mrs. Carson's behalf, told Mrs. Foster to ""find money"" to purchase better furniture for the office - and he quipped that ""$5,000 will not even buy a decent chair,"" according to the complaint, which was reported by The Guardian newspaper."
"On Wednesday, tour director Jean-Marie Leblanc sounded convinced that Armstrong had been caught.","But Jean-Marie Leblanc, the director of the Tour de France, called the newspaper's report ""very complete, very professional, very meticulous.""","But on Wednesday Jean-Marie Leblanc, the director of the Tour de France, sounded convinced that Armstrong had been caught and called the newspaper's report ""very complete, very professional, very meticulous."""
"Then, Obama delivered a rousing keynote address at the Democratic National Convention and, in 20 minutes, his rising star was ascendant.","Obama, whose father was from Kenya and mother was from Kansas, rose to national prominence after delivering a keynote address at the Democratic National Convention this July.","Obama, whose father was from Kenya and mother was from Kansas, rose to national prominence, and in 20 minutes, his rising star was ascendant after delivering a rousing keynote address at the Democratic National Convention this July,"
The US House of Representatives on Wednesday approved a 6.1-billion-dollar package of tax breaks to help families recover from Hurricane Katrina which hit the Gulf Coast areas late last month.,The package offers tax assistance to people and businesses dislocated by Hurricane Katrina and expanded tax breaks for some charitable donations to help them.,The US House of Representatives on Wednesday approved a 6.1-billion-dollar package of tax breaks to help dislocated people and businesses and some charitable donations for them and families to recover from Hurricane Katrina which hit the Gulf Coast areas late last month.
The government and FARC continued to argue over details of a prisoner swap.,Uribe announced in October that he was read to negotiate a prisoner exchange with the largest of the country's rebel groups.,"The government and FARC, the largest of the country's rebel groups, continued to argue over details of a prisoner swap, after Uribe announced in October that he was ready to negotiate with FRAC."
"A fire that ripped through a Waitrose store in Surrey is being treated as ``potentially suspicious'', police said.",A Waitrose store was reduced to ruins after a blaze being treated by police as ``potentially suspicious''.,"A Waitrose store in Surrey was reduced to ruins after a blaze being treated by police as ``potentially suspicious."""
"Tara Reid has checked into Promises Treatment Center, a prominent rehab clinic in Los Angeles.",The beautiful party girl Tara Reid is taking the time this season and checking herself into rehab.,"The beautiful party girl Tara Reid is taking the time this season and checking herself into rehab at Promises Treatment Center, a prominent clinic in Los Angeles."
"On February 5, Hamas claimed responsibility for the previous day's suicide bombing in Dimona, Israel, which killed one civilian and wounded 10 others.",The Islamist Hamas movement claimed responsibility for the bombing on February 5th.,"On February 5, the Islamist Hamas claimed responsibility for the previous day's suicide bombing in Dimona, Israel, which killed one civilian and wounded 10 others."
"Hansbrough scored 20 points Thursday night, breaking North Carolina's career scoring record, and the Tar Heels beat visiting Evansville, 91-73.",Tyler Hansbrough scored 20 points to break North Carolina's career scoring record and help the top-ranked Tar Heels remain unbeaten with a 91-73 victory over Evansville on Thursday night.,Tyler Hansbrough scored 20 points to break North Carolina's career scoring record and help the top-ranked Tar Heels remain unbeaten with a 91-73 victory over visiting Evansville on Thursday night.
France is working to protect coral reefs in the South Pacific.,"To further reef conservation, France launched a three-year initiative to protect coral reefs in the South Pacific.  ","To further reef conservation, France launched a three-year initiative to protect coral reefs in the South Pacific."
"Police in Norfolk, Virginia, said three men were shot at about 6 p.m. Tuesday in the suburb of Berkley.","The three men were sitting inside a vehicle that was shot up in the Berkley suburb of Norfolk, Virginia.","Police in Norfolk, Virginia, said three men were shot at about 6 p.m. Tuesday in the suburb of Berkley while sitting inside a vehicle."
"On May 3, 2005 former President Bill Clinton announced a partnership of the American Heart Association with the food and restaurant industry to increase physical activity and nutrition at schools nationwide.",Former President Clinton his partnered with the American Heart Association to promote physical activity at schools nationwide.,"On May 3, 2005, former President Bill Clinton announced a partnership of the American Heart Association with the food and restaurant industry to increase physical activity and nutrition at schools nationwide."
"Qatar and Uganda have donated $100 million and $200,000 respectively.","Qatar donated 100 million dollars to the victims and the Ugandan government pledged 200,000 dollars toward relief and rebuilding efforts.","Qatar donated 100 million dollars to the victims and the Ugandan government pledged 200,000 dollars toward relief and rebuilding efforts."
"When parents found out that the (recently retired) adult-film actress had promoted reading to kids at the school, many complained, notes TMZ.","Many parents complained about Grey, who has appeared in adult films Throat: A Cautionary Tale and Babysitters among others, reading to their young children, reports TMZ.","Many parents complained about Grey, who has appeared in adult films Throat: A Cautionary Tale and Babysitters among others but recently retired, reading to their young children, reports TMZ."
"RadioShack gets more specific: The CCO ""will maintain an office at RadioShack headquarters in Fort Worth, Texas""; design playlists for what USA Today reports are 1,733 stores; help develop exclusive products; and ""further transform the retailer into the must-visit electronics destination.""","He is also slated to put on events and performances, as well as curate playlists for the company's 1,733 stores.","RadioShack gets more specific: The CCO ""will maintain an office at RadioShack headquarters in Fort Worth, Texas""; design playlists for what USA Today reports are 1,733 stores; help develop exclusive products; put on events and performances; and ""further transform the retailer into the must-visit electronics destination."""
"Mark Felt, the mysterious ``Deep Throat'' source who helped Washington Post reporters Bob Woodward and Carl Bernstein crack the Watergate scandal that brought down President Richard Nixon, has died at age 95.","The passing yesterday of W. Mark Felt, the man who was the infamous secret source for Washington Post reporters Bob Woodward and Carl Bernstein during their investigation of the Watergate scandal, marks the end of a life that brought about both the good and the bad of anonymous sources in political journalism.","The passing yesterday of W. Mark Felt at age 95, the man who was the infamous and mysterious ""Deep Throat"" secret source for Washington Post reporters Bob Woodward and Carl Bernstein during their investigation of the Watergate scandal that brought down President Richard Nixon, marks the end of a life that brought about both the good and the bad of anonymous sources in political journalism."
"He adds Hastert has ""deteriorated both physically and emotionally, undoubtedly in part due to public shaming and humiliation,"" nearly died of sepsis in November, and now requires 24-hour care, per Politico.",A federal judge agreed to delay sentencing for former U.S. House Speaker Dennis Hastert in his hush-money case after the Illinois Republican's attorneys revealed he nearly died in November when he suffered a severe blood infection.,"A federal judge agreed to delay sentencing for former U.S. House Speaker Dennis Hastert in his hush-money case after the Illinois Republican's attorneys revealed he nearly died of sepsis in November when he suffered a severe blood infection, adding Hastert has ""deteriorated both physically and emotionally, undoubtedly in part due to public shaming and humiliation,"" and now requires 24-hour care, per Politico."
He faces 30 years in prison and a fine of $1.25 million if convicted.,"If convicted, he faces a maximum of 30 years in prison and a 1.25 million dollar fine.","If convicted, he faces a maximum of 30 years in prison and a 1.25 million dollar fine."
Hansbrough scored 20 points last night to break the storied program's career scoring record and help the Tar Heels (10-0) remain unbeaten with a 91-73 victory over visiting Evansville (7-2).,"Tyler Hansbrough scored 20 Thursday night to break North Carolina's career scoring record and help the No. 1 Tar Heels remain unbeaten with a 91-73 victory over Evansville in Chapel Hill, N.C.","Tyler Hansbrough scored 20 points Thursday night to break North Carolina's career scoring record and help the No. 1 Tar Heels (10-0) remain unbeaten with a 91-73 victory over Evansville (7-2) in Chapel Hill, N.C."
The death toll from the U.S. attack on a Sudanese factory climbed to one although Sudan claimed a large number were killed and injured in the attacks; 5000 were injured in the U.S. embassy bombings being avenged.,One person died in the attack.,The death toll from the U.S. attack on a Sudanese factory climbed to one although Sudan claimed a large number were killed and injured in the attacks; 5000 were injured in the U.S. embassy bombings being avenged.
A Mafia boss in Palermo hanged himself in jail after hours before he was arrested in a police's raid.,"A suspected Mafia leader has hanged himself in prison in Sicily hours after being arrested, Italian police say.","A suspected Mafia leader has hanged himself in prison in Palermo, Sicily hours after being arrested in a raid, Italian police say."
"Former high-powered lobbyist Jack Abramoff, a longtime associate of top Republican leaders, pleaded guilty Tuesday to conspiracy, fraud and tax evasion and agreed to cooperate with federal officials investigating political corruption in the nation's capital.","The appearance was made a day after Abramoff pleaded guilty in Washington to defrauding Indian tribal clients, conspiring to bribe members of Congress and evading taxes.","Former high-powered lobbyist Jack Abramoff, a longtime associate of top Republican leaders, pleaded guilty Tuesday in Washington to conspiring to bribe members of Congress, defrauding Indian tribal clients, and tax evasion and agreed to cooperate with federal officials investigating political corruption in the nation's capital."
An Atlanta judge sentenced Brian Nichols to life in prison Saturday morning.,A Georgia judge handed Brian Nichols today four consecutive life sentences without the possibility for parole sentence today.,"An Atlanta, Georgia judge handed Brian Nichols four consecutive life sentences without the possibility for parole sentence today."
"""He told my son he's going to the movies,"" James Snead tells ABC's Good Morning America.",He said he was going to the movies.,"""He told my son he's going to the movies,"" James Snead tells ABC's Good Morning America."
"After looking at how many people died during this period-about 4,400 in total, 1,800 of those from cardiovascular disease-the study in the Lancet Public Health journal found about 256,000 deaths each year could be tied to lead exposure.","By the end of the period, 4,422 people had died, including 1,801 from cardiovascular disease, out of which 988 deaths were from coronary heart disease.","After looking at how many people died during this period-4,422 in total, 1,801 of those from cardiovascular disease, out of which 988 deaths were from coronary heart disease-the study in the Lancet Public Health journal found about 256,000 deaths each year could be tied to lead exposure."
The beautiful party girl Tara Reid is taking the time this season and checking herself into rehab.,"Reid checked herself in on Tuesday, December 9, 2008.","The beautiful party girl Tara Reid is taking the time this season and checking herself into rehab on Tuesday, December 9, 2008."
Bosnia's Red Cross gave money.,The Bosnian Red Cross announced on Thursday that it has started raising money for the victims of Hurricane Katrina in the United States.,The Bosnian Red Cross announced on Thursday that it has started raising money for the victims of Hurricane Katrina in the United States.
"A 5.6 magnitude earthquake hit an island off Iran's southern coast on Sunday, injuring five people and damaging buildings, Iranian media said.","A strong 5.6-magnitude earthquake jolted part of Qeshm island in the Gulf off Iran's southern Hormozgan province at 17:06 pm (1336 GMT) on Sunday, state television reported, cited by AFP.","A strong 5.6-magnitude earthquake jolted part of Qeshm island in the Gulf off Iran's southern Hormozgan province at 17:06 pm (1336 GMT) on Sunday, injuring five people and damaging buildings, state television reported, cited by AFP."
The U.S. is investigating whether the jet will need special safety regulations due to the turbulence it generates.,The US is studying the potential for turbulence generated by the A380 reflecting safety precautions.,The U.S. is investigating whether the A380 jet will need special safety regulations due to the turbulence it generates.
"""When he went by me it was a blur,"" Padden tells the Duluth News Tribune.",When he went by me it was a blur.,"""When he went by me it was a blur,"" Padden tells the Duluth News Tribune."
"Parliamentary elections in Turkmenistan which are planned for December 15, 2013, will be held on a two-party basis, a message from the Central Commission for Elections and Referenda of Turkmenistan said.","Parliamentary elections in Turkmenistan that are scheduled for December 15 of this year will be held on a two-party basis, for the first time in the country’s history, according to the Central Elections Commission of Turkmenistan.","Parliamentary elections in Turkmenistan that are scheduled for December 15 of this year will be held on a two-party basis, for the first time in the country’s history, according to the Central Commission for Elections and Referenda of Turkmenistan."
"Wladimir Klitschko stopped Tony Thompson in the sixth round to keep a comfortable hold on his WBA, IBF and WBO heavyweight title belts on Saturday.","Wladimir Klitschko stopped Tony Thompson in the sixth round to retain his WBA, IBF and WBO heavyweight title belts Saturday night.","Wladimir Klitschko stopped Tony Thompson in the sixth round to keep a comfortable hold on his WBA, IBF and WBO heavyweight title belts on Saturday night."
A DC council member is apologizing after he pushed a conspiracy theory that a wealthy Jewish family controlled the weather.,A D.C. lawmaker responded to a brief snowfall Friday by publishing a video in which he espoused a conspiracy theory that Jewish financiers control the weather.,A D.C. council member is apologizing after he responded to a brief snowfall Friday by publishing a video in which he espoused a conspiracy theory that a family of Jewish financiers control the weather.
"As he spoke to the woman at the door of the apartment, the suspect in the previous day's shooting appeared and shot him in the head.","A Los Angeles County sheriff's deputy interviewing a woman and a man outside a Hawaiian Gardens apartment was fatally shot Friday when a gunman burst out of the residence, put a handgun to the officer's face and fired, authorities said.","A Los Angeles County sheriff's deputy interviewing a woman and a man at the door of a Hawaiian Gardens apartment was fatally shot Friday when the suspect in the previous day's shooting burst out of the residence, put a handgun to the officer's face and fired, authorities said."
Republican opponent Dino Rossi filed a lawsuit seeking the extraordinary remedy of a new election.,"Rossi has filed a lawsuit, alleging that dead people, felons, and other ineligible voters cast ballots and demanding an unprecedented statewide re-vote.","Republican opponent Dino Rossi has filed a lawsuit, alleging that dead people, felons, and other ineligible voters cast ballots and demanding an unprecedented, extraordinary remedy of a statewide re-vote."
State rulings for the husband ordered the immediate removal of Shiavo's feeding tube.,"A Florida appeals court Tuesday cleared the way for a brain-damaged woman to be taken off her life support, but a lower court blocked implementation of the decision pending a further hearing.","Florida appeals court rulings for the husband Tuesday ordered the brain-damaged Shiavo to be taken off life support, and the immediate removal of her feeding tube, but a lower court blocked implementation of the decision pending a further hearing."
